route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Durgapur (West Bengal) to Kolkata
From INR 135",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Greenline,Volvo A/C Seater (2+2),11:30,04h 00m,15:30,486,4.4,25 Seats available
"Durgapur (West Bengal) to Kolkata
From INR 135",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Greenline (Karunamoyee),Volvo A/C B11R Multi Axle Semi Sleeper (2+2),12:00,03h 50m,15:50,486,4.6,25 Seats available
"Durgapur (West Bengal) to Kolkata
From INR 135",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),N/A,12:30,04h 00m,16:30,486,4.2,49 Seats available
"Durgapur (West Bengal) to Kolkata
From INR 135",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31 Seats available
"Durgapur (West Bengal) to Kolkata
From INR 135",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22 Seats available
"Digha to Barasat (West Bengal)
From INR 161",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Ankita Paribahan,AC Seater (2+3),13:40,05h 00m,18:40,389,3.3,23 Seats available
"Digha to Barasat (West Bengal)
From INR 161",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Vishwakarma Travels,AC Seater (2+3),13:45,05h 20m,19:05,380,4.1,19 Seats available
"Digha to Barasat (West Bengal)
From INR 161",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Snemita Paribahan (Shinjini),AC Seater (2+3),23:35,05h 25m,05:00,470,3.2,19 Seats available
"Digha to Barasat (West Bengal)
From INR 161",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47 Seats available
"Digha to Barasat (West Bengal)
From INR 161",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15 Seats available
"Barasat (West Bengal) to Digha
From INR 161",https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,WBTC (CTC) BARASAT-DIGHA via Bally - 38|12:15,Non AC Seater (2+3),12:15,04h 00m,16:15,161,3.3,47 Seats available
"Barasat (West Bengal) to Digha
From INR 161",https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,WBTC (CTC) BADURIA - DIGHA via Bally - 155|13:30,Non AC Seater (2+3),13:30,03h 15m,16:45,161,1.9,49 Seats available
"Barasat (West Bengal) to Digha
From INR 161",https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,WBTC (CTC) HABRA-DIGHA via Bally - 26|14:00,Non AC Seater (2+3),14:00,04h 00m,18:00,161,3.3,47 Seats available
"Barasat (West Bengal) to Digha
From INR 161",https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,WBTC (CTC) BARASAT-DIGHA via Bally - 38|15:00,Non AC Seater (2+3),15:00,03h 45m,18:45,161,3.7,42 Seats available
"Suri to Kolkata
From INR 435",https://www.redbus.in/bus-tickets/suri-to-kolkata,WBTC (CTC) KOLKATA -BOLPUR - SURI (AC-VOLVO) - 104|13:15,Volvo AC Seater (2+2),13:15,05h 10m,18:25,435,4.3,6 Seats available
"Kolkata to Digha
From INR 145",https://www.redbus.in/bus-tickets/kolkata-to-digha,Express Line,Volvo A/C Seater (2+2),23:45,05h 00m,04:45,499,4.5,43 Seats available
"Kolkata to Digha
From INR 145",https://www.redbus.in/bus-tickets/kolkata-to-digha,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,05h 00m,04:30,405,4.4,33 Seats available
"Kolkata to Digha
From INR 145",https://www.redbus.in/bus-tickets/kolkata-to-digha,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34 Seats available
"Kolkata to Digha
From INR 145",https://www.redbus.in/bus-tickets/kolkata-to-digha,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26 Seats available
"Kolkata to Digha
From INR 145",https://www.redbus.in/bus-tickets/kolkata-to-digha,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34 Seats available
"Bolpur (West Bengal) to Kolkata
From INR 375",https://www.redbus.in/bus-tickets/bolpur-west-bengal-to-kolkata,WBTC (CTC) KOLKATA -BOLPUR - SURI (AC-VOLVO) - 104|14:10,Volvo AC Seater (2+2),14:10,04h 15m,18:25,375,4.3,6 Seats available
"Kolkata to Suri
From INR 435",https://www.redbus.in/bus-tickets/kolkata-to-suri,WBTC (CTC) KOLKATA -BOLPUR - SURI (AC-VOLVO) - 104|14:30,Volvo AC Seater (2+2),14:30,04h 40m,19:10,435,3.8,29 Seats available
"Digha to Kolkata
From INR 145",https://www.redbus.in/bus-tickets/digha-to-kolkata,Express Line,Volvo 9600 Multi Axle Semi-Sleeper (2+2),13:45,04h 30m,18:15,499,4.7,6 Seats available
"Digha to Kolkata
From INR 145",https://www.redbus.in/bus-tickets/digha-to-kolkata,Shyamoli Paribahan Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),13:15,04h 30m,17:45,400,4.3,6 Seats available
"Digha to Kolkata
From INR 145",https://www.redbus.in/bus-tickets/digha-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),13:45,05h 10m,18:55,400,4.2,6 Seats available
"Digha to Kolkata
From INR 145",https://www.redbus.in/bus-tickets/digha-to-kolkata,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Seat available
"Digha to Kolkata
From INR 145",https://www.redbus.in/bus-tickets/digha-to-kolkata,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9 Seats available
"Kolkata to Durgapur (West Bengal)
From INR 135",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,WBTC (CTC) KOLKATA - ASANSOL - PURULIA (AC VOLVO) Banglashree Express - 133|13:45,Volvo AC Seater (2+2),13:45,03h 00m,16:45,350,3.7,34 Seats available
"Kolkata to Durgapur (West Bengal)
From INR 135",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),11:25,03h 35m,15:00,486,3.5,33 Seats available
"Kolkata to Durgapur (West Bengal)
From INR 135",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Greenline (Karunamoyee),Volvo A/C Seater (2+2),11:25,03h 35m,15:00,486,4.2,18 Seats available
"Kolkata to Durgapur (West Bengal)
From INR 135",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Greenline,Volvo A/C Seater (2+2),11:30,04h 00m,15:30,486,4.6,13 Seats available
"Kolkata to Durgapur (West Bengal)
From INR 135",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29 Seats available
"Habra to Digha
From INR 179",https://www.redbus.in/bus-tickets/habra-to-digha,WBTC (CTC) HABRA-DIGHA via Bally - 26|12:45,Non AC Seater (2+3),12:45,05h 15m,18:00,179,3.0,47 Seats available
"Barasat (West Bengal) to Nandakumar (west bengal)
From INR 89",https://www.redbus.in/bus-tickets/barasat-west-bengal-to-nandakumar,WBTC (CTC) BARASAT-DIGHA via Bally - 38|12:15,Non AC Seater (2+3),12:15,02h 10m,14:25,90,3.4,47 Seats available
"Barasat (West Bengal) to Nandakumar (west bengal)
From INR 89",https://www.redbus.in/bus-tickets/barasat-west-bengal-to-nandakumar,WBTC (CTC) BADURIA - DIGHA via Bally - 155|13:30,Non AC Seater (2+3),13:30,01h 45m,15:15,90,2.6,49 Seats available
"Barasat (West Bengal) to Nandakumar (west bengal)
From INR 89",https://www.redbus.in/bus-tickets/barasat-west-bengal-to-nandakumar,WBTC (CTC) HABRA-DIGHA via Bally - 26|14:00,Non AC Seater (2+3),14:00,02h 10m,16:10,90,3.4,47 Seats available
